"user_id","course_id"
1010882,490
1010802,514
1120298,514
750528,552
191574,523
721673,523
183963,523
1318089,572
818124,359
1597295,809
1368386,551
989498,515
1157399,551
1010039,490
557392,504
1140515,489
1010039,514
985818,368
1120298,552
724893,1144
709821,551
1301012,776
229159,515
1011230,368
1035543,489
85070,745
750484,489
1014136,809
1190694,489
1367737,566
712195,357
733153,368
1087443,356
718013,489
183470,523
734962,362
1575419,551
992987,515
202623,794
1131580,566
734962,363
1010286,363
795558,552
747720,551
190925,742
1159859,503
1460951,564
1049107,361
169757,551
1011177,490
1077566,552
420591,551
721822,357
1011267,368
1011101,502
1607286,569
690136,551
198016,489
205001,356
692266,551
1092994,551
1173156,752
1011220,368
1070881,551
1011334,490
1079376,514
220885,745
846928,489
738587,489
712070,551
1342449,551
1111757,519
734962,367
1010606,514
1011733,523
1369245,776
696622,551
253616,519
711026,551
724629,551
719787,756
1808710,1104
173210,523
720101,489
731616,551
183832,489
1011664,367
1318241,553
179032,489
196226,515
707438,515
782013,360
714781,364
1011253,489
1421004,566
1376645,764
686162,564
204461,489
1011630,490
407792,564
716327,502
709391,490
1707995,794
697248,552
1229180,569
214380,360
997114,489
997114,490
1004048,490
1003307,489
1124620,566
190498,551
989498,489
1012181,514
215832,659
183972,566
183442,551
206340,523
1078091,502
1006548,502
179522,523
688494,551
725510,551
911597,552
1120454,502
195297,571
770261,368
198148,518
1059131,553
721053,489
1059131,523
1011606,551
1868646,1102
702271,523
970794,358
988440,502
1006298,366
685883,570
168310,523
232339,791
1481942,776
170337,551
1868646,1101
1095412,551
1281208,503
161848,523
183885,523
475713,356
746913,523
999934,507
1868646,1100
1368251,764
706156,523
175390,523
728574,364
711978,756
901386,518
1281208,664
165633,516
637374,551
714375,551
104130,523
188144,523
110175,357
730025,551
1051544,490
171547,523
693052,523
186840,523
792010,489
198148,523
1481942,502
735796,523
1091348,551
797148,515
1620482,566
587365,552
749155,566
107707,551
156080,363
698159,551
202523,571
768642,753
211623,551
182009,515
1059131,356
911597,523
692052,562
741387,519
1573734,572
1352246,511
640425,489
189252,551
1228534,566
304595,504
646571,523
951557,366
1116045,679
165403,523
1007876,514
721779,523
1649584,566
709535,840
1135656,507
964054,523
1798645,756
856156,523
207106,516
985454,551
196452,551
706728,551
1036532,551
693556,489
1021944,363
1116045,504
191173,523
717323,552
745420,571
179377,523
202494,517
197797,515
677628,551
209342,519
103469,523
1082989,513
170462,551
1371343,562
730824,515
253280,523
198431,523
1283336,741
191632,523
731123,517
690809,551
105745,551
1012870,523
1057118,515
696227,551
1002877,514
1236554,745
705836,523
1006166,523
291276,552
539190,523
170367,1141
1004033,523
1017623,516
193471,523
700598,523
726113,552
747200,507
173168,523
1318698,489
750528,502
1130804,551
706658,523
223830,552
698699,552
215297,523
1023061,502
186376,490
742170,523
1038996,503
929420,490
1007138,357
638408,551
1007138,356
722709,523
1038996,514
686001,566
1012760,490
1009239,503
1261906,551
1012521,777
699529,752
1228534,490
424197,489
730824,489
424197,523
1342568,566
1128748,504
1499474,572
1113020,551
1725333,566
730493,489
209117,519
2068607,840
1011654,490
1024948,489
189870,552
1259654,566
2068609,794
169600,551
725672,490
178973,572
1253118,490
1676053,566
652674,566
708630,523
750528,551
211143,551
1869530,563
1136174,1128
169469,523
1103620,794
693414,1141
720390,489
107447,523
1482231,516
369862,356
179990,571
203691,1146
1129015,551
711791,366
1122693,511
893670,749
1559139,1103
721987,366
1078396,504
1376175,551
709462,572
176557,551
1310585,757
1074251,566
1191570,750
155251,829
1679686,572
182346,523
191341,523
1092459,515
723474,523
644052,523
163397,515
1008010,363
1005953,523
406508,523
699686,523
786649,367
720315,514
707248,744
1573222,745
188440,809
1575086,361
1366119,749
1165672,840
908257,360
1261752,513
711791,523
178913,566
203118,514
1437523,794
1176331,490
1369704,515
1060519,523
709416,523
1575086,764
1129007,508
1375190,513
1575086,514
695681,359
738474,523
1129051,551
169259,489
1310585,566
1059131,552
187305,566
744945,515
723474,515
205279,367
1334556,749
456843,523
1043539,551
995263,552
56388,517
722166,508
1059131,514
1059131,515
731735,757
1505409,755
1870387,794
1043347,566
745420,502
710330,523
544576,489
187163,551
544576,515
1006308,515
164573,490
194848,750
418979,752
707750,489
1016868,551
1650153,502
1666564,566
1258089,566
717747,551
401420,765
1604331,566
215297,752
1679840,750
637863,504
752648,367
192841,523
723431,523
418979,570
947743,489
1059131,551
734554,366
1007913,752
911425,358
1059131,516
1392836,507
167724,551
304292,551
1075525,551
152007,490
1634168,794
1093382,551
221885,551
215176,523
164573,523
693180,523
730493,356
1011579,490
1003109,368
937619,566
1166040,745
706233,523
784986,366
1525745,743
1325720,515
742298,1099
715886,366
649377,551
1018496,551
649377,507
1129173,551
1093154,489
1345799,551
174950,523
1313835,566
997541,514
1623955,570
747927,368
1868403,1139
1059131,357
1868403,745
1095051,517
716475,368
717323,551
1014100,523
1130456,551
1231502,566
